"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Welcome to the Index Page","15902","verifyTitlePage","Default Suite","Sun Jul 13 13:17:22 BST 2025","broken","Sun Jul 13 13:17:38 BST 2025","testCases.IndexPageTest","myStore","testCases.IndexPageTest","verifyTitlePage"
"","1665","verifyAccountCreation","Default Suite","Mon Jul 14 16:29:20 BST 2025","passed","Mon Jul 14 16:29:22 BST 2025","testCases.AccountCreationTest","myStore","testCases.AccountCreationTest","verifyAccountCreation"
"","1659","wishListTest","All Test Suite","Sat Jul 05 22:20:18 BST 2025","passed","Sat Jul 05 22:20:20 BST 2025","testCases.MyAccountPageTest","/Users/fatma/Desktop/MyStore/myStore","testCases.MyAccountPageTest","wishListTest"
"Verify the logo on the Index Page","43","verifyLogoPage","Default Suite","Sun Jul 13 12:57:53 BST 2025","passed","Sun Jul 13 12:57:53 BST 2025","testCases.IndexPageTest","myStore","testCases.IndexPageTest","verifyLogoPage"
"","1800","verifyLogin","All Test Suite","Sat Jul 05 22:20:14 BST 2025","passed","Sat Jul 05 22:20:15 BST 2025","testCases.LoginPageTest","/Users/fatma/Desktop/MyStore/myStore","testCases.LoginPageTest","verifyLogin"
"","1","teardownBrowser","Default Suite","Tue Jul 08 20:26:23 BST 2025","broken","Tue Jul 08 20:26:23 BST 2025","testCases.IndexPageTest","myStore","testCases.IndexPageTest","teardownBrowser"
"","985","verifySearchPage","All Test Suite","Sat Jul 05 22:20:23 BST 2025","passed","Sat Jul 05 22:20:24 BST 2025","testCases.SearchResultTest","/Users/fatma/Desktop/MyStore/myStore","testCases.SearchResultTest","verifySearchPage"
